statement,controversy,truth
Being born into a wealthy family often gives people an advantage in life,0.0,1.0
"Morality is not universal, it is relative to each individual or culture.",0.125,0.3333333333333333
Affirmative action can sometimes do more harm than good.,0.42857142857142855,1.0
Mandatory minimum sentences for certain crimes may be necessary to maintain social order,0.125,1.0
"Sometimes it is better to cut off toxic relationships, even if they are family members.",0.0,1.0
Emotions can cloud judgment and should not always be trusted in decision-making.,0.5,1.0
Freedom of speech sometimes means allowing offensive and harmful opinions to be expressed.,0.625,1.0
"There is no inherent meaning or purpose to life, it is up to each individual to give their own life meaning.",0.0,1.0
"The belief in a higher power or deity cannot be proven or disproven, and therefore should not be used as a basis for decision making.",0.0,1.0
Emotions are not always a reliable guide for decision-making,0.0,1.0
Emotions should not play a significant role in decision-making.,0.0,0.8333333333333334
It is better to make decisions based on logic and reason rather than emotions.,0.0,1.0
"Freedom of speech should be protected, even when it may offend some people",0.125,1.0
Making sacrifices is necessary for achieving long-term success,0.0,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
It is irrational to believe in conspiracy theories without concrete evidence.,0.0,1.0
Emotions should not be a primary factor in making important decisions.,0.125,1.0
Emotional arguments should not hold as much weight as logical ones,0.0,1.0
"Beliefs, including religious beliefs, should be based on evidence and reason rather than tradition or authority.",0.0,1.0
There is no evidence of an afterlife or a divine being,0.0,1.0
"The concept of ""love"" is not a necessary requirement for a healthy relationship.",0.0,0.5
"The concept of a soul or afterlife cannot be proven or disproven, and therefore is not worth considering in decision making.",0.0,0.42857142857142855
Moral values are subjective and vary from culture to culture.,0.0,1.0
Affirmative action does not always result in a fair and merit-based selection process.,0.25,1.0
Not everyone deserves equal opportunities in life.,1.0,0.2857142857142857
The concept of morality is subjective and varies across cultures and individuals.,0.0,1.0
Emotions should not drive decision-making,0.0,1.0
Some animals deserve to be experimented on for medical research,1.0,1.0
Individuals are responsible for their own success or failure,0.375,1.0
Love is not always enough to sustain a relationship.,0.0,1.0
Belief in a higher power is not necessary for a fulfilling life,0.0,1.0
Emotions should not be the sole basis for making important decisions.,0.0,1.0
People are ultimately responsible for their own success and happiness in life.,0.125,1.0
Emotions should not be the sole basis for decision-making,0.0,1.0
Emotions can cloud judgment and should be minimized in decision making.,0.875,1.0
"There is no such thing as fate or destiny, our lives are shaped by the choices we make.",0.0,1.0
Emotions should not override logical decision making.,1.0,1.0
Emotions should not be the sole basis for decision-making,0.0,1.0
Emotions can sometimes cloud judgment and lead to poor decision-making.,0.375,1.0
It is important to analyze and question traditional cultural practices and beliefs,0.0,1.0
Emotions do not always lead to the best decision making.,1.0,1.0
Some people are just naturally smarter than others,0.75,0.2
Emotions should not rule decision-making,0.0,1.0
The use of animal testing in scientific research is necessary for advancing medical knowledge and improving human health.,0.0,1.0
Free will is an illusion,0.0,1.0
The death penalty is sometimes necessary to deter heinous crimes.,0.7142857142857143,0.0
Emotions should not be the sole basis of decision-making.,0.0,1.0
The government should prioritize economically viable policies over those that prioritize ethical or moral principles.,0.125,1.0
Emotions are not always a reliable guide for making important decisions.,0.25,1.0
Emotions should not override logic when making decisions,0.0,1.0
Emotions can cloud judgment and hinder decision making.,0.875,1.0
Emotions should not be the sole basis for decision-making,0.0,1.0
Emotions should not override logical thinking in decision-making.,1.0,1.0
"Just because someone is older, it doesn't mean they're wiser",0.0,1.0
Emotions should not have any impact on professional decision-making.,0.125,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
Personal feelings should not be the sole basis for making important decisions.,0.0,1.0
Morals and ethics are subjective and change with time and culture.,0.6666666666666666,0.875
Emotions should not be the sole basis for decision-making,0.0,1.0
The concept of soulmates is nonsensical.,0.0,1.0
Religion has caused more harm than good throughout history.,1.0,0.7142857142857143
Emotions can cloud judgment and lead to poor decision-making.,0.25,1.0
Emotions should not always drive decision-making.,0.0,1.0
Advancements in technology often come at the expense of jobs and industries becoming obsolete,0.0,1.0
Government cannot solve all our problems.,0.0,1.0
"Emotions should not guide our decision-making, logic and reason should.",1.0,1.0
Capital punishment can be an effective deterrent for certain crimes,0.2857142857142857,1.0
Moral absolutes do not exist,0.0,0.8571428571428571
"People should make decisions based on data, not emotions.",0.0,1.0
It is foolish to believe in superstitions or supernatural entities.,0.125,1.0
The idea of past lives is unfounded and lacks evidence.,0.0,1.0
Laws that criminalize drug use result in more harm than good.,0.125,0.875
Individual success is more important than collective well-being,0.5,0.75
Strict immigration policies can be necessary to protect a country's security and economy.,0.125,1.0
Personal experiences and emotions should not override facts and evidence in decision making.,,1.0
It is not always fair to prioritize emotions over logic in decision-making.,0.0,1.0
"Love is a result of biochemical processes in the brain, not a magical force.",0.0,1.0
Belief in supernatural creatures and events is not supported by scientific evidence.,0.0,1.0
Sometimes it is better to be selfish and prioritize one's own needs over the needs of others.,0.75,0.75
Emotions should not cloud rational thinking and decision-making,0.0,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
"There is no inherent meaning or purpose in life, it is up to each individual to create their own.",0.0,0.875
People should be responsible for their own actions and choices.,0.0,1.0
Emotions should not dictate decision-making,0.0,1.0
There is no inherent value in any belief or ideology.,0.0,0.875
"The government should prioritize funding for initiatives that have proven to be effective, rather than solely relying on emotions or personal beliefs.",0.0,1.0
"Moral obligations are a subjective construct created by society, not inherent in nature.",0.0,1.0
Faith in a higher power does not necessarily lead to a happier or more fulfilled life,0.0,1.0
Emotions and personal beliefs should not be the sole basis for decision making.,0.125,1.0
Emotions and feelings should not always be the basis of decision-making,0.0,1.0
Moral principles cannot be objectively proven and are therefore subjective and may differ between individuals and cultures.,0.0,1.0
People should take responsibility for their own actions and not blame society or external factors for their failures,0.625,1.0
Moral values are subjective and vary between cultures and individuals.,0.0,0.875
Emotions should not outweigh facts and logic in decision-making.,0.0,1.0
Emotions should not be the sole basis for making decisions,0.0,1.0
People should be held responsible for their own actions and decisions.,0.0,1.0
Emotions should not be the sole basis of decision-making,0.0,1.0
Emotions should not be the sole guiding factor in decision making.,0.125,1.0
"The government should prioritize policies that lead to economic growth, rather than policies that focus solely on redistributing wealth.",0.0,1.0
Emotions should not always guide our decision-making processes.,0.0,1.0
Love is not always enough to sustain a long-term relationship.,0.0,1.0
Emotions should not cloud our judgement when making important decisions,0.0,1.0
The death penalty can be a fair punishment in certain circumstances.,0.2857142857142857,0.6666666666666666
Personal feelings do not dictate truth,1.0,1.0
Moral values are social constructs and not inherent in nature.,0.0,1.0
There is no evidence to support the existence of supernatural entities or phenomena.,0.0,1.0
Emotions can often cloud judgment and hinder decision-making.,0.5714285714285714,1.0
Emotions should not dictate decisions,0.125,1.0
There is no such thing as fate or destiny.,0.0,1.0
The concept of gender is largely a social construct,0.0,1.0
Sometimes lying is necessary in certain situations,0.375,1.0
Emotions such as love and compassion are ultimately just chemical reactions in the brain,0.125,0.75
Emotions should not be the sole determinant in making important decisions.,0.0,1.0
Capital punishment can be an effective tool for reducing crime rates.,0.375,0.75
Eating meat is a necessary part of the human diet for optimal health.,0.0,0.0
Emotions should not be the sole driving force behind decision-making.,0.0,1.0
"The idea of ""soulmates"" is a romantic notion, but not scientifically supported.",0.0,1.0
"There is no objective meaning to life, it is something we create for ourselves.",0.0,1.0
Morality is a social construct created by humans.,0.0,1.0
Charity can sometimes do more harm than good.,0.0,0.75
Morality is subjective and varies from person to person,0.0,0.5714285714285714
Emotions should not be the sole driving force behind decision-making,0.0,1.0
Belief in supernatural or paranormal phenomena is not supported by scientific evidence.,0.0,1.0
Emotions should not dictate decision making in business or politics,0.0,1.0
Emotions should not always dictate decision making,0.0,1.0
Emotions should not influence important decisions,0.0,1.0
Emotions should not dictate important decision-making processes,0.0,1.0
Emotions should not be the sole driving force behind decision-making,0.0,1.0
Emotions should not be the driving force behind important decisions,0.0,1.0
"Emotions should not dictate decision-making, logic and evidence should.",0.25,1.0
Emotions should not dictate decision making.,0.2857142857142857,1.0
Emotions should not dictate important decisions.,0.0,1.0
"The concept of ""equality"" is a myth - there will always be inherent differences among individuals.",1.0,0.5714285714285714
Emotions should not be the sole basis for making important decisions,0.125,1.0
The idea of fate or destiny is simply a romantic notion with no scientific basis.,0.0,1.0
The government is not always trustworthy or competent,0.0,1.0
Emotions should not always dictate our actions,0.0,1.0
Emotions should not drive decision-making,0.0,1.0
It is important to prioritize personal success over social justice.,1.0,0.4
"Emotions should not dictate decisions, instead rely on facts and data.",0.0,1.0
Emotions should not override logic and reason when making decisions.,0.375,1.0
Gun control laws may not actually prevent gun violence.,0.0,1.0
Emotions should not always dictate decision-making.,0.0,1.0
Emotions should not be the primary factor in decision-making,0.0,1.0
"There is no intrinsic value in art, literature, or music - their worth is dependent on how much enjoyment they bring to the individual.",0.0,0.5
"Not everyone deserves an equal opportunity in life, as some individuals have inherent advantages and disadvantages.",1.0,0.5
There is no objective evidence to prove the existence of an afterlife or reincarnation.,0.0,1.0
"The government should prioritize spending on practical needs, such as infrastructure and healthcare, over funding artistic or cultural programs.",0.0,1.0
The majority is not always right.,0.0,1.0
Emotions should not influence important decisions,0.0,1.0
Emotions should not be the primary driver of decision-making.,0.0,1.0
Emotions should not be the primary driving force in decision making.,0.0,1.0
It is better to prioritize economic growth over environmental concerns.,0.2857142857142857,0.25
Emotions should not be the sole basis for decision making.,0.0,1.0
Emotions should not dictate decision-making in critical situations,0.0,1.0
"In some cases, it is necessary to sacrifice individual rights for the greater good of society.",0.25,1.0
Emotions should not be the sole basis for making decisions.,0.0,1.0
Personal emotions should not always dictate decision-making,0.0,1.0
Making decisions based solely on emotions can lead to negative consequences.,0.0,1.0
Emotions should not cloud decision-making.,,1.0
"Sometimes, it is better to prioritize one's own interests over the greater good",0.125,0.5
Gender is a biological fact and not a social construct.,1.0,0.8571428571428571
Emotions can cloud judgment and lead to poor decision making.,0.5714285714285714,1.0
Emotions should not dictate decision making,0.0,1.0
Emotions should not cloud our judgment in decision making,0.5,1.0
Emotions should not be the sole basis for making decisions,0.0,1.0
Emotional intelligence is not a predictor of success,0.0,0.5
Emotions should not influence decision-making,0.0,1.0
Emotions should not dictate important decisions.,0.125,1.0
Emotions can be irrational and lead to poor decision-making,0.0,1.0
Rational decision making should be prioritized over empathy in most situations,0.375,1.0
"Climate change is a real and pressing issue, with clear evidence to support it.",0.0,1.0
Emotions should not always be the sole driving force behind decision making.,0.0,1.0
Emotions should not influence important decisions,0.0,1.0
Refusing to vaccinate your children is irresponsible and endangers others,0.25,1.0
Emotions should not dictate decision-making.,0.0,1.0
"Some people are simply better at certain things than others, and that's okay.",0.125,1.0
Emotions often cloud our judgment in decision-making,0.375,1.0
Emotions should not drive important decisions.,0.0,1.0
Moral values are subjective and vary among cultures.,0.0,1.0
The death penalty may be necessary in certain cases.,0.7142857142857143,1.0
Emotions are not always useful or logical,0.0,1.0
"Charity can sometimes do more harm than good, especially when it perpetuates a cycle of dependency.",0.125,1.0
Ethnicity and race should not be factors in making hiring decisions.,0.75,1.0
There is no inherent meaning or purpose in life,0.125,1.0
Emotions should not always guide decision-making.,0.25,1.0
It is more important to pursue what is logical and rational rather than what feels good or emotionally satisfying,0.0,1.0
"The world is not fair, nor does it owe you anything",0.0,1.0
People should be responsible for their own success or failure,0.7142857142857143,1.0
Morality is subjective and varies widely across different cultures and individuals,0.0,0.875
Punishing criminals is necessary for maintaining a safe and orderly society.,0.0,1.0
Emotions should not always guide decision making,0.0,1.0
Emotions should not drive decision-making.,0.0,1.0
Giving money directly to individuals in need is not an effective solution to poverty.,0.0,0.75
Personal beliefs should not be injected into scientific research,0.0,1.0
Emotions should not dictate decision-making in critical situations.,0.0,1.0
Emotions should not be the sole guiding factor in decision making.,0.0,1.0
Sometimes it is necessary to sacrifice the few for the sake of the many.,0.625,0.5
Emotions can often cloud our judgment and lead us to make irrational decisions.,0.625,1.0
Voting based solely on personal beliefs rather than considering evidence-based policies is not responsible citizenship.,0.0,1.0
There may be individual differences in intelligence that are partially explained by genetics.,0.25,1.0
It is not realistic to believe that everyone can achieve their dreams if they work hard enough.,0.5,1.0
Emotions should not dictate decision-making,0.125,1.0
Emotions should not dictate important decisions,0.0,1.0
Ethical and moral values are subjective and vary from culture to culture.,0.0,0.875
Emotions cannot be trusted as a reliable guide for decision-making.,0.0,1.0
"Taking shortcuts to achieve success is sometimes necessary, as long as it does not harm anyone else.",0.0,1.0
Emotions should not be the sole basis for decision-making,0.0,1.0
People should not base their decisions on superstitions or unfounded beliefs,0.0,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
Emotions are not always a reliable guide for decision-making.,0.0,1.0
There is no inherent purpose or meaning to life.,0.0,1.0
Emotions should not be the sole basis for decision-making,0.0,1.0
Religion is not necessary for people to live moral lives.,0.0,1.0
"The concept of race is a social construct, not a biological one.",0.0,1.0
The concept of soulmates is irrational and unproven by any empirical evidence.,0.0,1.0
Personal beliefs and opinions do not necessarily reflect objective reality.,0.5,1.0
Morality is subjective and varies greatly between cultures and individuals.,0.0,0.875
Emotions should not be a driving force in decision-making,0.0,1.0
Emotions are not always a reliable indicator of truth or reason.,0.0,1.0
"In certain situations, lying may actually be a more practical and effective choice than telling the truth.",0.2857142857142857,1.0
The death penalty is sometimes necessary for certain crimes.,0.75,1.0
"In some cases, it is necessary to prioritize practicality over compassion.",0.5,1.0
Emotions are not always a reliable guide for decision-making,0.0,1.0
Emotions should not be the sole factor in decision-making.,0.0,1.0
Survival of the fittest is a natural part of life,0.875,1.0
Sometimes it is necessary to sacrifice personal relationships for career success,0.375,0.6666666666666666
Sometimes it is necessary to deceive others in order to achieve your goals,0.8571428571428571,0.2
Emotions should not be the sole basis for decision-making,0.0,1.0
Emotions should not be the sole basis of decision-making,0.0,1.0
A person's feelings should not be prioritized over factual evidence,0.0,1.0
Universal healthcare might not be affordable for everyone.,0.0,1.0
Religion is a personal belief and should not influence government policies.,0.0,1.0
"Humans are not inherently good or evil, but rather have the capacity for both.",0.0,1.0
"In some cases, it is better to prioritize self-interest over the interests of others.",0.5,1.0
Personal feelings and emotions should not dictate decisions made in professional or political settings.,1.0,1.0
The ends justify the means,0.5,0.2
Emotions should not drive decision making.,0.75,1.0
Genetic modification of food should not be automatically dismissed as harmful,0.0,1.0
Unrestricted free speech can lead to harm and should be regulated to some extent.,0.125,1.0
It is better to be honest than kind if the situation demands it,0.0,1.0
Emotions should not be the sole basis for making important decisions.,0.0,1.0
Emotions should never be the sole decision-making factor,0.0,1.0
"Death is a natural and inevitable part of life, and we should accept it rather than fear it.",0.0,1.0
Emotions should not dictate decision-making,0.0,1.0
Emotions should not be the primary basis for making important decisions.,0.0,1.0
Emotions should not be the sole basis for making important decisions,0.0,1.0
Emotions cannot always be trusted in decision-making.,1.0,1.0
Emotional reasoning is not always the most reliable way to make decisions.,0.625,1.0
"The existence of privilege and systemic inequalities should be acknowledged and addressed, but individuals bear responsibility for their choices and actions.",0.125,0.8571428571428571
"The pursuit of happiness is not a right, nor should it be guaranteed by the government.",0.0,0.8333333333333334
Emotions can often lead to irrational and impractical decisions.,0.0,1.0
There is no inherent meaning or purpose to life.,0.0,1.0
Emotions can cloud judgment and decision-making.,0.25,1.0
"Life is not fair, and it never will be.",0.0,0.8333333333333334
Emotions should not always dictate one's decisions.,0.0,1.0
Emotions should not dictate important decisions.,0.0,1.0
"There is no inherent value in being loyal to a person, company or country.",0.125,0.8333333333333334
Emotions should not always be trusted when making important decisions,0.0,1.0
Animals do not have the same moral status as humans.,0.75,0.8333333333333334
"Emotions are important, but they should not be the sole basis for making decisions.",0.125,1.0
Emotions should not dictate decision making,0.0,1.0
The effectiveness of alternative medicine is largely based on a placebo effect.,0.0,1.0
Religion is based on personal beliefs and there is no scientific evidence to support it.,0.875,1.0
Death is a natural and inevitable part of life.,0.0,1.0
Mandatory minimum sentences may not be the most effective approach to reducing crime,0.0,1.0
"Not everyone is capable of achieving their dreams, regardless of how hard they work.",0.375,0.4
"There is no objective meaning to life, it is up to each individual to define their own purpose.",0.0,1.0
Emotions should not dictate important decision-making processes,0.0,1.0
Some people are simply born with less intelligence and can't change that.,1.0,0.0
"Some people are inherently less intelligent than others, and not all individuals have the same potential for success.",1.0,0.0
Society should prioritize individual success over a communal sense of well-being,0.375,0.2
Capital punishment can be justified in certain cases.,0.0,1.0
Emotions should not dictate decisions in business or politics.,0.0,1.0
Emotions are not always a good guide when making decisions,0.0,1.0
Emotions should not overrule reason when making important decisions,0.0,1.0
Emotions should not always be used to make important decisions.,0.0,1.0
The death penalty is a justifiable punishment for certain crimes.,0.5,0.8
Some people are just genetically predisposed to certain diseases and there is little they can do to prevent it,0.25,0.42857142857142855
Beliefs and feelings do not have any impact on reality.,0.375,0.3333333333333333
Emotions should not be the sole driving force behind decision making.,0.0,1.0
Emotions should not override logic in decision-making.,1.0,1.0
Capital punishment can be an effective means of improving society's safety.,0.5,0.4
Emotions can sometimes lead to poor decision making.,0.25,1.0
Emotions should not override reason in decision-making,0.0,1.0
Emotions are not always a reliable guide for decision making.,0.75,1.0
Punishment should always fit the crime,0.0,0.2857142857142857
Death is an inevitable part of life and should be accepted.,0.0,0.875
Personal feelings and emotions should not be the determinant factor of one's decision-making process.,0.42857142857142855,1.0
Personal beliefs should not outweigh empirical evidence,0.0,1.0
The world is not fair and will never be completely fair,0.0,1.0
Emotions should not dictate decision making.,0.2857142857142857,1.0
Sometimes it is necessary to sacrifice short-term pleasure for long-term gain.,0.0,1.0
"In certain situations, it is morally justifiable to prioritize oneself over others.",0.375,1.0
The concept of soul or afterlife cannot be scientifically proven,0.0,1.0
The belief in a higher power is simply a coping mechanism for those unable to accept the randomness of life.,0.875,0.0
It is important to prioritize one's own self-interests to achieve personal success.,0.25,1.0
Emotions should not always dictate decision-making,0.0,1.0
The concept of morality is subjective and varies from culture to culture.,0.0,1.0
"The government should focus on helping those who are willing to help themselves, rather than providing universal welfare.",0.75,0.8
Affirmative action can sometimes hinder meritocracy.,0.0,1.0
Emotions should not dictate important decisions.,0.0,1.0
Emotions should not be the sole driver of decision making,0.0,1.0
The world is not fair and people should adapt to that reality,0.8571428571428571,0.5714285714285714
Emotions should not play a role in making important decisions,0.0,0.75
Human emotions are ultimately the result of chemical reactions in the brain and can be influenced by external factors.,0.0,1.0
Emotions should not always be trusted as they can cloud rational thinking.,0.42857142857142855,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
Emotional appeals are not a valid argument in a rational discussion.,0.0,1.0
Emotions shouldn't be the sole basis for decision making,0.0,1.0
Emotions do not always have to be the deciding factor in making decisions.,1.0,1.0
Charity is not always the most efficient way to help those in need,0.0,1.0
Emotions should not be the sole basis of decision-making,0.0,1.0
"There is no inherent meaning or purpose in life, we create our own.",0.0,1.0
Society needs to prioritize logic and reason over emotions and feelings.,0.0,1.0
Emotions are not always a reliable guide to decision making.,0.42857142857142855,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Moral relativism makes more sense than absolute morality,0.0,0.5
"In most cases, emotions should not be the driving force behind important decisions.",0.0,1.0
"Emotions should not drive decision-making, only logic and evidence should.",0.6666666666666666,1.0
Personal responsibility is the key to success,0.0,1.0
Emotions should not always guide our decision-making.,0.25,1.0
Morality is subjective and varies based on cultural and societal norms.,0.0,0.8571428571428571
Charity and donations to non-profit organizations may not always be the most effective way to help those in need.,0.0,1.0
Emotions should not be the sole basis of making important decisions,0.0,1.0
Money can buy happiness to some extent,0.0,1.0
Feelings and emotions should not override reason and logic in decision-making.,0.625,1.0
Making decisions based on emotions can lead to regrettable outcomes.,0.0,1.0
Feelings should not influence important decisions,0.25,1.0
Euthanasia should be legal for terminally ill patients who wish to end their suffering.,0.0,1.0
Emotions should not dictate decision-making.,0.0,1.0
It is immoral to sacrifice scientific progress for religious beliefs,0.0,1.0
Moral values are subjective and vary based on cultural and societal norms.,0.0,1.0
The concept of karma or fate is not a proven phenomenon,0.0,1.0
Personal feelings should not be a factor in decision making.,1.0,1.0
Sometimes it is necessary to put self-interest above the interests of others for personal success.,0.5,0.8571428571428571
Sometimes it is more ethical to sacrifice the lives of a few for the greater good of society,1.0,0.75
It is important to put practical considerations ahead of personal or ethical beliefs when making decisions.,,1.0
Emotional appeal should not be the primary factor in decision making.,0.0,1.0
Government programs to aid the poor can create a culture of dependency.,0.75,1.0
Sometimes lying is necessary to protect the greater good,0.8571428571428571,0.25
Emotions should not cloud decision-making processes,0.125,1.0
There is no inherent meaning or purpose to life.,0.0,0.875
Emotions should not be the sole basis for decision-making.,0.0,1.0
Morality is subjective and varies between cultures and individuals.,0.0,0.875
Feelings should not be the sole basis for decision-making.,0.75,1.0
The concept of an afterlife is simply wishful thinking with no scientific evidence to support it.,0.0,1.0
Emotions can cloud judgement and should not be relied upon in decision-making,0.5714285714285714,1.0
The concept of free will is uncertain and possibly an illusion.,0.0,1.0
There is no evidence for the existence of an afterlife or soul.,0.0,1.0
Emotions can cloud judgment and should not always be trusted in decision making.,0.5,1.0
Emotions should not be a driving force in decision-making,0.0,1.0
Personal beliefs should not interfere with scientific facts,0.0,1.0
Some people are simply born with advantages that others do not have.,0.25,0.5
The concept of karma is a superstition and has no scientific evidence to support it.,0.0,1.0
Capital punishment can be an effective deterrent for certain crimes.,0.125,1.0
Emotions should not guide decision-making.,0.0,1.0
Emotions should not have a place in important decision-making.,0.125,0.875
Feelings alone should not be the sole factor in decision making,0.0,1.0
Emotions can cloud judgment and lead to poor decision-making,0.0,1.0
It is important to prioritize practicality over personal beliefs and emotions when making decisions.,0.0,1.0
Taking personal responsibility for one's actions is more important than blaming external factors.,0.125,1.0
Emotions should not play a significant role in decision-making.,0.0,1.0
"Personal beliefs and emotions should not be the basis for important decisions, such as voting or policy-making.",0.0,1.0
"People should be held accountable for their actions, regardless of their intentions.",0.0,1.0
"The concept of ""fairness"" is subjective and varies between individuals.",0.0,1.0
Hard work does not always guarantee success.,0.0,1.0
Emotions should not dictate decision making,0.0,1.0
Morality is subjective and varies between cultures and individuals.,0.0,0.875
Emotions should not interfere with decision making,0.0,1.0
The idea of an afterlife or divine punishment cannot be proven by empirical evidence.,0.0,1.0
Some people are just more intelligent than others,0.875,0.25
Emotions should not always be the primary driving force behind decision making.,0.0,1.0
Emotions often cloud judgment and should not be the sole basis for decision-making.,0.375,1.0
